"study_ID","measured_response_variable","measured_response_comments","reported_units"
"1_a","foliar damage on Salix lanata","percentage of leaf area damaged or removed by invertebrate herbivores (reported in study as LA)","%"
"1_b","foliar damage on Salix myrtilloides","percentage of leaf area damaged or removed by invertebrate herbivores (reported in study as LA)","%"
"1_c","foliar damage on Betula pubescens","percentage of leaf area damaged or removed by invertebrate herbivores (reported in study as LA)","%"
"1_d","foliar damage woody species","percentage of leaf area damaged or removed by invertebrate herbivores (reported in study as LA)","%"
"1_e","foliar damage woody species","percentage of leaf area damaged or removed by invertebrate herbivores (reported in study as LA)","%"
"3_a","plant height","willow ramets","cm"
"3_b","shoot length","current annual shoot length of willow ramets","cm"
"3_c","shoot dieback","willow ramets","cm"
"3_d","number of new shoots","willow ramets","number of shoots"
"3_e","number of buds per shoot","willow ramets","number of buds"
"3_f","number of catkins per ramet","willow ramets","number of catkins"
"3_g","invertebrate herbivory index","proportion of leaf area removed by folivorous insects; 1: 0-1%, 2=1-5%; 3=5-25% and 4=25-100%","index"
"3_h","number of leaf beetles","number of leaf beetles Gonioctena spp. per willow ramet","number of individuals"
"3_i","number of E. arcticornis","number of sawfly galls per willow ramet","number of galls"
"3_j","number of Phyllocolpa","number of sawfly galls per willow ramet","number of galls"
"3_k","number of E. mucronata","number of sawfly galls per willow ramet","number of galls"
"4_a","Community-weighted biomass loss",NA,"%"
"4_b","Community-weighted biomass loss",NA,"%"
"5_a","Average leaf damage for damaged leafs of Betula nana",NA,"%"
"5_b","Average leaf damage for all leafs of Betula nana",NA,"%"
"5_c","Percentage of leafs of Betula nana with damage",NA,"%"
"5_d","Average leaf damage for damaged leafs of Betula nana",NA,"%"
"5_e","Average leaf damage for all leafs of Betula nana",NA,"%"
"5_f","Percentage of leafs of Betula nana with damage",NA,"%"
"5_g","Average leaf damage for damaged leafs of Betula nana",NA,"%"
"5_h","Average leaf damage for all leafs of Betula nana",NA,"%"
"5_i","Percentage of leafs of Betula nana with damage",NA,"%"
"5_j","Average leaf damage for damaged leafs of Betula nana",NA,"%"
"5_k","Average leaf damage for all leafs of Betula nana",NA,"%"
"5_l","Percentage of leafs of Betula nana with damage",NA,"%"
"8_a","browsed buds of Salix pulchra",NA,"%"
"8_b","browsed buds of Betula nana",NA,"%"
"8_c","browsed buds of Salix alaxensis",NA,"%"
"8_d","broken new shoots of Salix alaxensis",NA,"%"
"15_a","cover of deciduous shrubs","Salix spp. and Betula nana; Salix includes S. lapponum, S. phylicifolia and S. glauca","%"
"15_b","cover of deciduous shrubs","Salix spp. and Betula nana; Salix includes S. lapponum, S. phylicifolia and S. glauca","%"
"15_c","cover of deciduous shrubs","Salix spp. and Betula nana; Salix includes S. lapponum, S. phylicifolia and S. glauca","%"
"15_d","cover of deciduous shrubs","Salix spp. and Betula nana; Salix includes S. lapponum, S. phylicifolia and S. glauca","%"
"15_e","cover of deciduous shrubs","Salix spp. and Betula nana; Salix includes S. lapponum, S. phylicifolia and S. glauca","%"
"16_a","shoot length","average shoot length of Salix phylicifolia in 2020","cm"
"16_b","shoot length","average shoot length of Salix phylicifolia in 2020","cm"
"16_c","shoot length","average shoot length of Salix phylicifolia in 2020","cm"
"16_d","invertebrate herbivory","insect herbivory index: 1 (0%–1%), 2 (1%–5%), 3 (6%–25%), 4 (25%–100%), or 5 (leaves totally defoliated)","unitless"
"16_e","invertebrate herbivory","insect herbivory index: 1 (0%–1%), 2 (1%–5%), 3 (6%–25%), 4 (25%–100%), or 5 (leaves totally defoliated)","unitless"
"16_f","invertebrate herbivory","insect herbivory index: 1 (0%–1%), 2 (1%–5%), 3 (6%–25%), 4 (25%–100%), or 5 (leaves totally defoliated)","unitless"
"17_a","Carbon concentration of Betula glandulosa leaves",NA,"%"
"17_b","Carbon concentration of Betula glandulosa 'new stem'",NA,"%"
"17_c","Carbon concentration of Betula glandulosa 'old stem'",NA,"%"
"17_d","Carbon concentration of Vaccinium uliginosum leaves",NA,"%"
"17_e","Carbon concentration of Vaccinium uliginosum 'old stems'",NA,"%"
"17_f","Carbon concentration of Vaccinium vitis-idaea 'new leaves'",NA,"%"
"17_g","Carbon concentration of Vaccinium vitis-idaea 'old leaves'",NA,"%"
"17_h","Carbon concentration of Vaccinium vitis-idaea 'old stems'",NA,"%"
"17_i","Carbon concentration of Ledum decumbens 'new leaves'",NA,"%"
"17_j","Carbon concentration of Ledum decumbens 'old leaves'",NA,"%"
"17_k","Carbon concentration of Ledum decumbens 'new stems'",NA,"%"
"17_l","Carbon concentration of Ledum decumbens 'old stems'",NA,"%"
"17_m","Carbon concentration in graminoid blades and sheaths",NA,"%"
"17_n","Carbon concentration mosses (live tissue)",NA,"%"
"17_o","Carbon concentration lichen (all tissue)",NA,"%"
"17_p","Nitrogen concentration (%) of Betula glandulosa leaves",NA,"%"
"17_q","Nitrogen concentration (%) of Betula glandulosa 'new stem'",NA,"%"
"17_r","Nitrogen concentration (%) of Betula glandulosa 'old stem'",NA,"%"
"17_s","Nitrogen concentration (%) of Vaccinium uliginosum leaves",NA,"%"
"17_t","Nitrogen concentration (%) of Vaccinium uliginosum 'old stems'",NA,"%"
"17_u","Nitrogen Concentration of Vaccinium vitis-idaea 'new leaves'",NA,"%"
"17_v","Nitrogen Concentration of Vaccinium vitis-idaea 'old leaves'",NA,"%"
"17_w","Nitrogen Concentration of Vaccinium vitis-idaea 'old stems'",NA,"%"
"17_x","Nitrogen Concentration of Ledum decumbens 'new leaves'",NA,"%"
"17_y","Nitrogen Concentration of Ledum decumbens 'old leaves'",NA,"%"
"17_z","Nitrogen Concentration of Ledum decumbens 'new stems'",NA,"%"
"17_aa","Nitrogen Concentration of Ledum decumbens 'old stems'",NA,"%"
"17_ab","Nitrogen Concentration in graminoid blades and sheaths",NA,"%"
"17_ac","Nitrogen Concentration mosses (live tissue)",NA,"%"
"17_ad","Nitrogen Concentration lichen (all tissue)",NA,"%"
"17_ae","Phenolics concentration of Betula glandulosa leaves",NA,"mg/g dw"
"17_af","Phenolics concentration  of Betula glandulosa 'new stem'",NA,"mg/g dw"
"17_ag","Phenolics concentration of Betula glandulosa 'old stem'",NA,"mg/g dw"
"17_ah","Phenolics concentration  of Vaccinium uliginosum leaves",NA,"mg/g dw"
"17_ai","Phenolics concentration of Vaccinium uliginosum 'new stems'",NA,"mg/g dw"
"17_aj","Phenolics concentration of Vaccinium uliginosum 'old stems'",NA,"mg/g dw"
"17_ak","Phenolics concentration  of Vaccinium vitis-idaea 'new leaves'",NA,"mg/g dw"
"17_al","Phenolics concentration  of Vaccinium vitis-idaea 'old leaves'",NA,"mg/g dw"
"17_am","Phenolics concentration of Vaccinium vitis-idaea 'new stems'",NA,"mg/g dw"
"17_an","Phenolics concentration  of Vaccinium vitis-idaea 'old stems'",NA,"mg/g dw"
"17_ao","Phenolics concentration  of Ledum decumbens 'new leaves'",NA,"mg/g dw"
"17_ap","Phenolics concentration of Ledum decumbens 'old leaves'",NA,"mg/g dw"
"17_aq","Phenolics concentration  of Ledum decumbens 'new stems'",NA,"mg/g dw"
"17_ar","Phenolics concentration of Ledum decumbens 'old stems'",NA,"mg/g dw"
"17_as","Phenolics concentration in Rubus chamamemorus shoots",NA,"mg/g dw"
"17_at","Phenolics concentration in graminoid blades and sheaths",NA,"mg/g dw"
"17_au","Phenolics Concentration mosses (live tissue)",NA,"mg/g dw"
"17_av","Phenolics Concentration lichen (all tissue)",NA,"mg/g dw"
"17_aw","Soil NH4-N",NA,"g/m-2"
"17_ax","Soil DON",NA,"g/m-2"
"17_ay","Soil DOC",NA,"g/m-2"
"17_az","Soil Carbon",NA,"%"
"17_ba","Soil Nitrogen",NA,"%"
"17_bb","Soil Bulk Density",NA,"g dw soil/cm-3"
"17_bc","Soil Moisture",NA,"% of dw"
"21_a","tiller length of Eriophorum vaginatum",NA,"cm"
"21_b","number of flowers per tussock of Eriophorum vaginatum",NA,"number of flowers"
"27_a","Damage leaves",NA,"%"
"27_b","Green leaf volatiles emission rates","volatile organic compound (VOC) emission rates of Betula nana","ng cm-2 leaf area h-1"
"27_c","Homoterpenes","volatile organic compound (VOC) emission rates of Betula nana","ng cm-2 leaf area h-1"
"27_d","Isoprene","volatile organic compound (VOC) emission rates of Betula nana","ng cm-2 leaf area h-1"
"27_e","Monoterpenes","volatile organic compound (VOC) emission rates of Betula nana","ng cm-2 leaf area h-1"
"27_f","Sesquiterpenes","volatile organic compound (VOC) emission rates of Betula nana","ng cm-2 leaf area h-1"
"27_g","Hydrocarbons","volatile organic compound (VOC) emission rates of Betula nana","ng cm-2 leaf area h-1"
"27_h","oxygenated volatiles","volatile organic compound (VOC) emission rates of Betula nana","ng cm-2 leaf area h-1"
"27_i","Other VOC","volatile organic compound (VOC) emission rates of Betula nana","ng cm-2 leaf area h-1"
"27_j","Total VOCs","volatile organic compound (VOC) emission rates of Betula nana","ng cm-2 leaf area h-1"
"27_k","(E)-DMNT emission rate","volatile organic compound (VOC) emission rates of Betula nana","ng cm-2 leaf area h-1"
"27_l","Benzyl nitrile","volatile organic compound (VOC) emission rates of Betula nana","ng cm-2 leaf area h-1"
"27_m","2-Methylbutanetrile","volatile organic compound (VOC) emission rates of Betula nana","ng cm-2 leaf area h-1"
"27_n","Indole","volatile organic compound (VOC) emission rates of Betula nana","ng cm-2 leaf area h-1"
"27_o","(E)-β-ocimene","volatile organic compound (VOC) emission rates of Betula nana","ng cm-2 leaf area h-1"
"27_p","Linalool","volatile organic compound (VOC) emission rates of Betula nana","ng cm-2 leaf area h-1"
"30_b","Betula glandulosa leaf area",NA,"mm"
"30_c","Betula glandulosa number of long shoots",NA,"nr long shoots per ramet"
"30_d","Betula glandulosa number of short shoots",NA,"nr short shoots per ramet"
"32_a","height of Salix glauca",NA,"cm"
"32_b","number of shoots eaten by grouse",NA,"number of shoots"
"32_d","shoot elongation in Salix glauca",NA,"cm"
"37_a","Species Richness (dry land)",NA,"unitless"
"37_b","Species Richness (moist land)",NA,"unitless"
"37_c","Species Richness (wet land)",NA,"unitless"
"37_d","Shannon-Wiener index (dry land)",NA,"unitless"
"37_e","Shannon-Wiener index (moist land)",NA,"unitless"
"37_f","Shannon-Wiener index (wet land)",NA,"unitless"
"39_c","Ring width estimate","To see radial growth response","microm"
